Redistribution_Index,t_trigger,Threshold,Sw1_before,Sw2_before,Sw3_before,Sw4_before,Sw5_before,Sw1_after,Sw2_after,Sw3_after,Sw4_after,Sw5_after,R_before,R_after,IR
1,0,50.0,15.0,50.0,5.0,1.0,8.0,6.428571428571428,50.0,2.142857142857143,9.571428571428571,10.857142857142858,1.0,1.0,0.0
2,1,45.0,6.428571428571428,50.05,2.142857142857143,9.571428571428571,10.857142857142858,6.428571428571428,53.998051948051945,3.8794063079777366,9.571428571428571,5.172541743970315,0.9999999999990085,0.9999999999987649,-2.435829316030009e-13
3,2,40.0,6.428571428571428,54.04805194805194,3.8794063079777366,9.571428571428571,5.172541743970315,9.038961038961038,57.528571428571425,1.6626027034190298,3.4805194805194803,7.389345348529021,0.9999999999901127,0.9999999999938138,3.701150497229479e-12
