Redistribution_Index,t_trigger,Threshold,Sw1_before,Sw2_before,Sw3_before,Sw4_before,Sw5_before,Sw1_after,Sw2_after,Sw3_after,Sw4_after,Sw5_after,R_before,R_after,IR
1,0,50.0,15.0,50.0,5.0,1.0,8.0,6.428571428571428,52.90909090909091,7.181818181818182,9.571428571428571,2.909090909090909,1.0,1.0,0.0
2,1,45.0,6.428571428571428,52.959090909090904,7.181818181818182,9.571428571428571,2.909090909090909,6.428571428571428,54.01694214876032,3.871310507674144,9.571428571428571,5.1617473435655254,0.9999999999982563,0.9999999999987684,5.121458812604777e-13
3,2,40.0,6.428571428571428,54.06694214876032,3.871310507674144,9.571428571428571,5.1617473435655254,9.038961038961038,57.5474616292798,1.6591330747174902,3.4805194805194803,7.373924776522179,0.9999999999901406,0.9999999999938312,3.6906033784953324e-12
