Redistribution_Index,t_trigger,Threshold,Sw1_before,Sw2_before,Sw3_before,Sw4_before,Sw5_before,Sw1_after,Sw2_after,Sw3_after,Sw4_after,Sw5_after,R_before,R_after,IR
1,1001,50.0,15.0,50.049999999999294,5.0,1.0,8.0,7.5,50.049999999999294,2.5,8.5,10.5,0.9991371250120955,0.9993698951660125,0.00023297117892017637
2,1001,50.0,7.5,50.049999999999294,2.5,8.5,10.5,7.5,57.049999999999294,3.0,8.5,3.0,0.9993698951660125,0.9997592010832107,0.0003895513754029406
3,1001,50.0,7.5,57.049999999999294,3.0,8.5,3.0,8.916666666666666,62.71666666666596,1.5,1.4166666666666665,4.5,0.9997592010832107,0.9998122511367254,5.3062830986970554e-05
