Redistribution_Index,t_trigger,Threshold,Sw1_before,Sw2_before,Sw3_before,Sw4_before,Sw5_before,Sw1_after,Sw2_after,Sw3_after,Sw4_after,Sw5_after,R_before,R_after,IR
1,0,50.0,15.0,50.0,5.0,1.0,8.0,6.428571428571428,52.90909090909091,7.181818181818182,9.571428571428571,2.909090909090909,1.0,1.0,0.0
2,0,50.0,6.428571428571428,52.90909090909091,7.181818181818182,9.571428571428571,2.909090909090909,6.428571428571428,53.966942148760324,3.871310507674144,9.571428571428571,5.1617473435655254,1.0,1.0,0.0
3,0,50.0,6.428571428571428,53.966942148760324,3.871310507674144,9.571428571428571,5.1617473435655254,9.038961038961038,57.44746162927981,1.6591330747174902,3.4805194805194803,7.373924776522179,1.0,1.0,0.0
